"","Plot","Patch","X","year","Survey.Date","Cheli.1st.3rd","Cheli.4th.5th","Cheli.adults","Narnia.nymphs","Narnia.adults","Cochineal","Cactoblastis","Melateria","Ants","Spiders","TrtType","TrtHabitat2015","Habitat2014","Habitatlost","PropLost","Habitat2014_start","Nbugs14","TreeScore","vegheight.mean","vegheight.sd","vegheight.CV","SurveyNumber","date","day","patcharea","nnd","bufferarea","bufferfararea","ifm","tbufferfararea","tbufferarea","month","coordInc"
"6722",15,19,6724,2014,2014-08-14,0,0,1,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,4,"2014-08-14",14,0.013194689,1.07625693977562,10.681179404,10.629814364,11.6128788037151,10.643009053,10.694374093,8,0
"6723",15,19,6726,2014,2014-06-05,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,1,"2014-06-05",5,0.013194689,1.07625693977562,10.681179404,10.629814364,11.6128788037151,10.643009053,10.694374093,6,0
"6729",15,191,6733,2014,2014-06-05,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,1,"2014-06-05",5,0.049480084,2.68313585204862,1.317583958,1.317583958,5.51536148577246,1.367064042,1.367064042,6,1
"6730",15,191,6730,2014,2014-08-14,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,4,"2014-08-14",14,0.049480084,2.68313585204862,1.317583958,1.317583958,5.51536148577246,1.367064042,1.367064042,8,1
"6732",15,2,6735,2014,2014-06-05,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,1,"2014-06-05",5,0.000706858,1.06737996980458,2.966448863,2.966448863,6.91268033910992,2.967155721,2.967155721,6,0
"6733",15,2,6738,2014,2014-09-08,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,5,"2014-09-08",8,0.000706858,1.06737996980458,2.966448863,2.966448863,6.91268033910992,2.967155721,2.967155721,9,0
"6734",15,2,6734,2014,2014-07-21,1,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,3,"2014-07-21",21,0.000706858,1.06737996980458,2.966448863,2.966448863,6.91268033910992,2.967155721,2.967155721,7,0
"6735",15,2,6737,2014,2014-06-23,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,2,"2014-06-23",23,0.000706858,1.06737996980458,2.966448863,2.966448863,6.91268033910992,2.967155721,2.967155721,6,0
"6736",15,20,6742,2014,2014-08-14,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,4,"2014-08-14",14,0.537840662,1.07625693977562,9.810801159,9.810801159,10.8157713302938,10.348641821,10.348641821,8,0
"6737",15,20,6740,2014,2014-06-23,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,2,"2014-06-23",23,0.537840662,1.07625693977562,9.810801159,9.810801159,10.8157713302938,10.348641821,10.348641821,6,0
"6738",15,20,6741,2014,2014-09-08,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,5,"2014-09-08",8,0.537840662,1.07625693977562,9.810801159,9.810801159,10.8157713302938,10.348641821,10.348641821,9,0
"6739",15,20,6743,2014,2014-06-05,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,1,"2014-06-05",5,0.537840662,1.07625693977562,9.810801159,9.810801159,10.8157713302938,10.348641821,10.348641821,6,0
"6740",15,20,6739,2014,2014-07-21,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,3,"2014-07-21",21,0.537840662,1.07625693977562,9.810801159,9.810801159,10.8157713302938,10.348641821,10.348641821,7,0
"6741",15,202,6747,2014,2014-06-23,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,2,"2014-06-23",23,0.001649336,0.899622142888974,1.417250985,1.417250985,5.81499912099828,1.418900321,1.418900321,6,1
"6743",15,202,6748,2014,2014-08-14,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,4,"2014-08-14",14,0.001649336,0.899622142888974,1.417250985,1.417250985,5.81499912099828,1.418900321,1.418900321,8,1
"6744",15,202,6746,2014,2014-07-21,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,3,"2014-07-21",21,0.001649336,0.899622142888974,1.417250985,1.417250985,5.81499912099828,1.418900321,1.418900321,7,1
"6755",15,213,6758,2014,2014-07-21,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,3,"2014-07-21",21,0.023483405,0.899622142888974,1.716958924,1.395416916,5.97081507315962,1.418900321,1.740442329,7,0
"6757",15,22,6760,2014,2014-06-23,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,2,"2014-06-23",23,0.006047566,0.604884286334392,10.476661722,10.375580978,10.8256089661932,10.381628544,10.482709288,6,0
"6774",15,23,6775,2014,2014-06-23,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,2,"2014-06-23",23,0.013823008,0.604884286334392,10.517895125,9.789831028,10.600115789771,9.803654036,10.531718133,6,0
"6775",15,23,6774,2014,2014-08-14,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,4,"2014-08-14",14,0.013823008,0.604884286334392,10.517895125,9.789831028,10.600115789771,9.803654036,10.531718133,8,0
"6777",15,236,6781,2014,2014-09-08,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,5,"2014-09-08",8,0.004948008,2.16630284117888,3.358284006,2.885474312,7.15001091279456,2.89042232,3.363232014,9,0
"6778",15,236,6783,2014,2014-07-21,0,0,0,0,0,1,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,3,"2014-07-21",21,0.004948008,2.16630284117888,3.358284006,2.885474312,7.15001091279456,2.89042232,3.363232014,7,0
"6779",15,236,6779,2014,2014-08-14,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,4,"2014-08-14",14,0.004948008,2.16630284117888,3.358284006,2.885474312,7.15001091279456,2.89042232,3.363232014,8,0
"6780",15,236,6782,2014,2014-06-23,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,2,"2014-06-23",23,0.004948008,2.16630284117888,3.358284006,2.885474312,7.15001091279456,2.89042232,3.363232014,6,0
"6781",15,24,6795,2015,2015-06-02,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,12,"2015-06-02",2,0.469353942,17.2583184000949,0,0,0.441698274876114,0.469353942,0.469353942,6,0
"6782",15,24,6805,2015,2015-09-10,0,0,0,0,0,1,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,19,"2015-09-10",10,0.469353942,17.2583184000949,0,0,0.441698274876114,0.469353942,0.469353942,9,0
"6783",15,24,6784,2014,2014-06-23,0,0,0,0,0,1,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,2,"2014-06-23",23,0.098803089,1.10704110134142,5.41343538,5.41343538,8.78106402821207,5.512238469,5.512238469,6,0
"6784",15,24,6797,2015,2015-05-05,0,0,0,0,0,1,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,10,"2015-05-05",5,0.469353942,17.2583184000949,0,0,0.441698274876114,0.469353942,0.469353942,5,0
"6785",15,24,6791,2015,2015-10-22,0,0,0,0,0,0,0,0,1,1,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,22,"2015-10-22",22,0.469353942,17.2583184000949,0,0,0.441698274876114,0.469353942,0.469353942,10,0
"6786",15,24,6794,2015,2015-06-16,0,0,1,0,0,1,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,13,"2015-06-16",16,0.469353942,17.2583184000949,0,0,0.441698274876114,0.469353942,0.469353942,6,0
"6788",15,24,6792,2015,2015-03-09,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,6,"2015-03-09",9,0.469353942,17.2583184000949,0,0,0.441698274876114,0.469353942,0.469353942,3,0
"6789",15,24,6793,2015,2015-07-14,0,0,1,0,0,1,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,15,"2015-07-14",14,0.469353942,17.2583184000949,0,0,0.441698274876114,0.469353942,0.469353942,7,0
"6790",15,24,6804,2015,2015-08-26,0,11,0,0,0,1,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,18,"2015-08-26",26,0.469353942,17.2583184000949,0,0,0.441698274876114,0.469353942,0.469353942,8,0
"6791",15,24,6802,2015,2015-08-11,15,0,0,0,0,1,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,17,"2015-08-11",11,0.469353942,17.2583184000949,0,0,0.441698274876114,0.469353942,0.469353942,8,0
"6792",15,24,6789,2015,2015-03-24,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,7,"2015-03-24",24,0.469353942,17.2583184000949,0,0,0.441698274876114,0.469353942,0.469353942,3,0
"6793",15,24,6790,2015,2015-05-19,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,11,"2015-05-19",19,0.469353942,17.2583184000949,0,0,0.441698274876114,0.469353942,0.469353942,5,0
"6794",15,24,6803,2015,2015-04-21,0,0,0,0,0,0,0,0,1,1,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,9,"2015-04-21",21,0.469353942,17.2583184000949,0,0,0.441698274876114,0.469353942,0.469353942,4,0
"6795",15,24,6785,2014,2014-07-21,0,0,0,0,0,1,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,3,"2014-07-21",21,0.098803089,1.10704110134142,5.41343538,5.41343538,8.78106402821207,5.512238469,5.512238469,7,0
"6796",15,24,6788,2014,2014-09-08,0,0,0,0,0,1,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,5,"2014-09-08",8,0.098803089,1.10704110134142,5.41343538,5.41343538,8.78106402821207,5.512238469,5.512238469,9,0
"6797",15,24,6798,2015,2015-07-03,0,0,0,0,0,1,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,14,"2015-07-03",3,0.469353942,17.2583184000949,0,0,0.441698274876114,0.469353942,0.469353942,7,0
"6799",15,24,6801,2015,2015-09-23,0,0,0,0,0,1,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,20,"2015-09-23",23,0.469353942,17.2583184000949,0,0,0.441698274876114,0.469353942,0.469353942,9,0
"6800",15,24,6786,2014,2014-06-05,0,0,0,0,0,1,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,1,"2014-06-05",5,0.098803089,1.10704110134142,5.41343538,5.41343538,8.78106402821207,5.512238469,5.512238469,6,0
"6801",15,24,6800,2015,2015-07-28,0,0,2,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,16,"2015-07-28",28,0.469353942,17.2583184000949,0,0,0.441698274876114,0.469353942,0.469353942,7,0
"6802",15,24,6787,2014,2014-08-14,5,0,0,0,0,1,0,0,1,1,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,4,"2014-08-14",14,0.098803089,1.10704110134142,5.41343538,5.41343538,8.78106402821207,5.512238469,5.512238469,8,0
"6803",15,247,6806,2014,2014-06-05,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,1,"2014-06-05",5,0.00439823,3.05980032028086,4.797918838,3.81766339,8.05165582837932,3.82206162,4.802317068,6,0
"6804",15,247,6807,2014,2014-09-08,1,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,5,"2014-09-08",8,0.00439823,3.05980032028086,4.797918838,3.81766339,8.05165582837932,3.82206162,4.802317068,9,0
"6805",15,247,6810,2014,2014-07-21,0,1,1,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,3,"2014-07-21",21,0.00439823,3.05980032028086,4.797918838,3.81766339,8.05165582837932,3.82206162,4.802317068,7,0
"6806",15,247,6808,2014,2014-06-23,0,3,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,2,"2014-06-23",23,0.00439823,3.05980032028086,4.797918838,3.81766339,8.05165582837932,3.82206162,4.802317068,6,0
"6817",15,258,6820,2014,2014-07-21,0,0,0,0,0,1,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,3,"2014-07-21",21,0.893390411,4.12029671262271,7.200373281,7.063714001,9.18155230735547,7.957104412,8.093763692,7,0
"6818",15,26,6825,2014,2014-09-08,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,5,"2014-09-08",8,2.015960006,2.18556171277568,8.701269174,8.693493732,9.27421076500739,10.709453738,10.71722918,9,0
"6819",15,26,6822,2014,2014-08-14,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,4,"2014-08-14",14,2.015960006,2.18556171277568,8.701269174,8.693493732,9.27421076500739,10.709453738,10.71722918,8,0
"6821",15,26,6821,2014,2014-06-23,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,2,"2014-06-23",23,2.015960006,2.18556171277568,8.701269174,8.693493732,9.27421076500739,10.709453738,10.71722918,6,0
"6822",15,26,6823,2014,2014-06-05,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,1,"2014-06-05",5,2.015960006,2.18556171277568,8.701269174,8.693493732,9.27421076500739,10.709453738,10.71722918,6,0
"6844",15,30,6846,2014,2014-07-21,0,0,0,0,0,0,0,0,1,1,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,3,"2014-07-21",21,0.013194689,1.50458532499288,9.478263577,9.478263577,9.88826908809286,9.491458266,9.491458266,7,0
"6845",15,30,6847,2014,2014-09-08,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,5,"2014-09-08",8,0.013194689,1.50458532499288,9.478263577,9.478263577,9.88826908809286,9.491458266,9.491458266,9,0
"6846",15,30,6850,2014,2014-06-23,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,2,"2014-06-23",23,0.013194689,1.50458532499288,9.478263577,9.478263577,9.88826908809286,9.491458266,9.491458266,6,0
"6847",15,30,6848,2014,2014-06-05,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,1,"2014-06-05",5,0.013194689,1.50458532499288,9.478263577,9.478263577,9.88826908809286,9.491458266,9.491458266,6,0
"6884",15,38,6904,2015,2015-03-24,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,7,"2015-03-24",24,0.101316363,7.1738626973245,0.689893747,0.689893747,1.01568553619667,0.79121011,0.79121011,3,0
"6885",15,38,6892,2015,2015-07-14,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,15,"2015-07-14",14,0.101316363,7.1738626973245,0.689893747,0.689893747,1.01568553619667,0.79121011,0.79121011,7,0
"6887",15,38,6891,2015,2015-06-02,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,12,"2015-06-02",2,0.101316363,7.1738626973245,0.689893747,0.689893747,1.01568553619667,0.79121011,0.79121011,6,0
"6888",15,38,6899,2015,2015-07-03,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,14,"2015-07-03",3,0.101316363,7.1738626973245,0.689893747,0.689893747,1.01568553619667,0.79121011,0.79121011,7,0
"6889",15,38,6887,2014,2014-07-21,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,3,"2014-07-21",21,0.032986723,1.21813833349271,5.629262798,5.616068109,7.29484791631951,5.649054832,5.662249521,7,0
"6890",15,38,6888,2014,2014-08-14,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,4,"2014-08-14",14,0.032986723,1.21813833349271,5.629262798,5.616068109,7.29484791631951,5.649054832,5.662249521,8,0
"6891",15,38,6889,2014,2014-06-05,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,1,"2014-06-05",5,0.032986723,1.21813833349271,5.629262798,5.616068109,7.29484791631951,5.649054832,5.662249521,6,0
"6892",15,38,6903,2015,2015-08-26,0,6,3,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,18,"2015-08-26",26,0.101316363,7.1738626973245,0.689893747,0.689893747,1.01568553619667,0.79121011,0.79121011,8,0
"6893",15,38,6895,2015,2015-03-09,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,6,"2015-03-09",9,0.101316363,7.1738626973245,0.689893747,0.689893747,1.01568553619667,0.79121011,0.79121011,3,0
"6894",15,38,6900,2015,2015-08-11,4,3,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,17,"2015-08-11",11,0.101316363,7.1738626973245,0.689893747,0.689893747,1.01568553619667,0.79121011,0.79121011,8,0
"6895",15,38,6901,2015,2015-04-21,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,9,"2015-04-21",21,0.101316363,7.1738626973245,0.689893747,0.689893747,1.01568553619667,0.79121011,0.79121011,4,0
"6896",15,38,6902,2015,2015-09-23,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,20,"2015-09-23",23,0.101316363,7.1738626973245,0.689893747,0.689893747,1.01568553619667,0.79121011,0.79121011,9,0
"6898",15,38,6894,2015,2015-07-28,3,2,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,16,"2015-07-28",28,0.101316363,7.1738626973245,0.689893747,0.689893747,1.01568553619667,0.79121011,0.79121011,7,0
"6899",15,38,6896,2015,2015-05-19,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,11,"2015-05-19",19,0.101316363,7.1738626973245,0.689893747,0.689893747,1.01568553619667,0.79121011,0.79121011,5,0
"6913",15,40,6921,2014,2014-09-08,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,5,"2014-09-08",8,0.131946891,1.40122553503351,5.806684243,5.108779435,7.02847906492681,5.240726326,5.938631134,9,0
"6914",15,40,6920,2014,2014-06-23,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,2,"2014-06-23",23,0.131946891,1.40122553503351,5.806684243,5.108779435,7.02847906492681,5.240726326,5.938631134,6,0
"6915",15,41,6927,2014,2014-09-08,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,5,"2014-09-08",8,0.152053084,4.68023257945573,2.266423481,1.55233947,4.80090582700894,1.704392554,2.418476565,9,0
"6916",15,41,6924,2014,2014-07-21,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,3,"2014-07-21",21,0.152053084,4.68023257945573,2.266423481,1.55233947,4.80090582700894,1.704392554,2.418476565,7,0
"6917",15,41,6923,2014,2014-06-05,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,1,"2014-06-05",5,0.152053084,4.68023257945573,2.266423481,1.55233947,4.80090582700894,1.704392554,2.418476565,6,0
"6921",15,42,6929,2014,2014-09-08,0,0,0,0,0,0,0,0,1,1,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,5,"2014-09-08",8,0.220382725,4.37537027009175,1.956819524,1.840973295,5.02358866108029,2.06135602,2.177202249,9,0
"6922",15,42,6930,2014,2014-08-14,0,0,0,0,0,1,0,0,1,1,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,4,"2014-08-14",14,0.220382725,4.37537027009175,1.956819524,1.840973295,5.02358866108029,2.06135602,2.177202249,8,0
"6929",15,43,6934,2014,2014-09-08,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,5,"2014-09-08",8,0.035185838,2.11013269721933,2.089787433,2.089787433,5.30417440866086,2.124973271,2.124973271,9,0
"6930",15,44,6958,2015,2015-08-26,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,18,"2015-08-26",26,0.191637152,7.63744963970984,0.592268755,0.173180295,0.855625178284684,0.364817447,0.783905907,8,0
"6931",15,44,6957,2015,2015-04-07,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,8,"2015-04-07",7,0.191637152,7.63744963970984,0.592268755,0.173180295,0.855625178284684,0.364817447,0.783905907,4,0
"6932",15,44,6941,2014,2014-06-05,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,1,"2014-06-05",5,0.023561945,2.11013269721933,2.286294054,2.286294054,5.88136273357194,2.309855999,2.309855999,6,0
"6933",15,44,6943,2015,2015-05-19,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,11,"2015-05-19",19,0.191637152,7.63744963970984,0.592268755,0.173180295,0.855625178284684,0.364817447,0.783905907,5,0
"6942",15,44,6952,2015,2015-10-22,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,22,"2015-10-22",22,0.191637152,7.63744963970984,0.592268755,0.173180295,0.855625178284684,0.364817447,0.783905907,10,0
"6943",15,44,6951,2015,2015-09-23,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,20,"2015-09-23",23,0.191637152,7.63744963970984,0.592268755,0.173180295,0.855625178284684,0.364817447,0.783905907,9,0
"6944",15,44,6939,2014,2014-06-23,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,2,"2014-06-23",23,0.023561945,2.11013269721933,2.286294054,2.286294054,5.88136273357194,2.309855999,2.309855999,6,0
"6945",15,44,6955,2015,2015-07-14,0,0,0,0,0,0,0,1,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,15,"2015-07-14",14,0.191637152,7.63744963970984,0.592268755,0.173180295,0.855625178284684,0.364817447,0.783905907,7,0
"6946",15,44,6950,2015,2015-03-09,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,6,"2015-03-09",9,0.191637152,7.63744963970984,0.592268755,0.173180295,0.855625178284684,0.364817447,0.783905907,3,0
"6947",15,44,6944,2015,2015-08-11,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,17,"2015-08-11",11,0.191637152,7.63744963970984,0.592268755,0.173180295,0.855625178284684,0.364817447,0.783905907,8,0
"6948",15,44,6948,2015,2015-03-24,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,7,"2015-03-24",24,0.191637152,7.63744963970984,0.592268755,0.173180295,0.855625178284684,0.364817447,0.783905907,3,0
"6950",15,44,6947,2015,2015-05-05,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,10,"2015-05-05",5,0.191637152,7.63744963970984,0.592268755,0.173180295,0.855625178284684,0.364817447,0.783905907,5,0
"6951",15,44,6945,2015,2015-06-16,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,13,"2015-06-16",16,0.191637152,7.63744963970984,0.592268755,0.173180295,0.855625178284684,0.364817447,0.783905907,6,0
"6952",15,45,6964,2014,2014-07-21,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,3,"2014-07-21",21,0.139486714,2.43474187549845,3.439572717,3.439572717,7.09232699997601,3.579059431,3.579059431,7,1
"6953",15,45,6963,2014,2014-08-14,0,0,0,0,0,0,0,0,1,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,4,"2014-08-14",14,0.139486714,2.43474187549845,3.439572717,3.439572717,7.09232699997601,3.579059431,3.579059431,8,1
"6954",15,45,6962,2014,2014-09-08,0,0,0,0,0,0,0,0,0,0,"rand ",15,268,253,0.944029851,249,71,1.5,29.60175221,19.31355657,0.652446397,5,"2014-09-08",8,0.139486714,2.43474187549845,3.439572717,3.439572717,7.09232699997601,3.579059431,3.579059431,9,1
